feature,pca_importance
D3DXOF.DLL,0.20169028024463034
INETCOMM.DLL,0.20169028024463034
CONSOLE.DLL,0.20169028024463034
DBNETLIB.DLL,0.20169028024463032
MSPATCHA.DLL,0.20169028024463032
CERTMGR.DLL,0.20169028024463032
IEPEERS.DLL,0.2016902802446303
IASACCT.DLL,0.2016902802446303
KBDIC.DLL,0.2016902802446303
FILEMGMT.DLL,0.2016902802446303
CATSRVPS.DLL,0.2016902802446303
CERTCLI.DLL,0.2016902802446303
ADSNT.DLL,0.2016902802446303
DBNMPNTW.DLL,0.2016902802446303
MIDIMAP.DLL,0.20169028024463026
INSENG.DLL,0.20169028024463026
KBDAL.DLL,0.20169028024463026
NTMARTA.DLL,0.20169028024463026
KBDNO.DLL,0.20169028024463026
WEBCLNT.DLL,0.157550223404956
ULIB.DLL,0.1556082511425808
KBDKYR.DLL,0.1556082511425808
SHDOCVW.DLL,0.1518403829583887
KBDFI.DLL,0.15184038295838864
ACTXPRXY.DLL,0.14598718052187473
STI.DLL,0.14570275232975624
APPHELP.DLL,0.1305428691057786
ICMP.DLL,0.12963285696827628
LZ32.DLL,0.10933777256325618
AVIFIL32.DLL,0.053422202784249084
PDH.DLL,0.038353246755500545
MINORLINKERVERSION,0.03422437355440669
NUMBEROFSECTIONS,0.029499408684223044
MSLS31.DLL,0.021115605214347827
KBDUSL.DLL,0.021115605214347827
THEMEUI.DLL,0.021115605214347827
CDOSYS.DLL,0.021115605214347827
ZIPFLDR.DLL,0.021115605214347827
EFSADU.DLL,0.021115605214347827
FONTSUB.DLL,0.021115605214347827
KBDHE319.DLL,0.021115605214347823
MSCTF.DLL,0.021115605214347823
KBDBE.DLL,0.021115605214347823
KBDLT1.DLL,0.021115605214347823
ICMUI.DLL,0.021115605214347823
WSHIP6.DLL,0.02111560521434782
DOCPROP.DLL,0.02111560521434782
KBDIT.DLL,0.018369288261542542
MSIDENT.DLL,0.018369288261542542
MSDMO.DLL,0.018369288261542542
IPSECSNP.DLL,0.018369288261542542
MSPORTS.DLL,0.018369288261542542
OCCACHE.DLL,0.01836928826154254
PANMAP.DLL,0.018369288261542535
ICM32.DLL,0.015976342154512817
SQLSRV32.DLL,0.015363646855522346
BROWSEUI.DLL,0.013523987068974322
USP10.DLL,0.01306536038370574
KBDLV1.DLL,0.013040808308113076
ODBCCU32.DLL,0.013040808308113074
DISPEX.DLL,0.013040808308113074
W32TOPL.DLL,0.013040808308113074
SFC_OS.DLL,0.013040808308113074
IASSDO.DLL,0.013040808308113072
WLDAP32.DLL,0.012739571470182386
CLFSW32.DLL,0.010345211077845997
DHCPSAPI.DLL,0.010345211077845997
MSRATING.DLL,0.010345211077845995
WOW32.DLL,0.010345211077845995
RPCNS4.DLL,0.010345211077845995
ISCSIDSC.DLL,0.010345211077845995
CLUSAPI.DLL,0.00891343062220662
GLU32.DLL,0.008629652563909346
DDRAW.DLL,0.008495149970491729
NTDSAPI.DLL,0.007792420510972936
AVICAP32.DLL,0.007656366731043508
WINDOWSCODECS.DLL,0.007526854239215742
AUTHZ.DLL,0.007013302194946719
DNSAPI.DLL,0.006989270148900644
PROPSYS.DLL,0.006826646817290771
DBGHELP.DLL,0.006528091779551585
RTM.DLL,0.006232738061788968
MSVFW32.DLL,0.00603610928413812
TIMEDATESTAMP,0.005992447855642394
POWRPROF.DLL,0.005816068929783347
NTDLL.DLL,0.005433531790628251
RPCRT4.DLL,0.005302385955756426
WEBSERVICES.DLL,0.005203791358586768
RDATA_CHARACTERISTICS,0.0050698632730371
KERNEL32.DLL,0.005069847837906941
DATA_VIRTUALADDRESS,0.004851130200223428
MSIMTF.DLL,0.004763270368442581
OLEPRN.DLL,0.00476327036844258
WINTRUST.DLL,0.0047580895925925775
MSCOREE.DLL,0.004736393512746844
SECTIONALIGNMENT,0.004685564020684629
WINRNR.DLL,0.004463513205784632
COMSVCS.DLL,0.004463513205784632
QUERY.DLL,0.004463513205784631
KBDIR.DLL,0.004463513205784631
RESUTILS.DLL,0.0044448919983325515
GDI32.DLL,0.004137782432152847
CHARACTERISTICS,0.004114086683106599
WSNMP32.DLL,0.004102559541966225
OPENGL32.DLL,0.004080978170697989
DATA_CHARACTERISTICS,0.003839166002004416
DLLCHARACTERISTICS,0.003777611383682369
IPHLPAPI.DLL,0.003626018702138179
MSACM32.DLL,0.0035497961682317107
MSVCP60.DLL,0.0034008313393735167
Unnamed: 0,0.0033826901658858873
SIZEOFHEADERS,0.003250787534644323
MAJORLINKERVERSION,0.0031949425543890335
TYPE,0.003157199565512555
TYPE_y,0.0031571995655125264
SETUPAPI.DLL,0.002936135048082943
API-MS-WIN-CORE-SYNCH-L1-2-0.DLL,0.002901858357259865
API-MS-WIN-CORE-LIBRARYLOADER-L1-2-0.DLL,0.0028785599232300165
API-MS-WIN-CORE-PROFILE-L1-1-0.DLL,0.0028669722838758588
MSVCRT.DLL,0.0028399727952413668
CRYPT32.DLL,0.002838856529305485
ODBC32.DLL,0.0028301036376911994
MPR.DLL,0.002789229617156947
IDATA_CHARACTERISTICS,0.0026916655397578393
SIZEOFOPTIONALHEADER,0.002691655266442818
MACHINE,0.0026916552664428164
MAGIC,0.002691655266442816
TLS_CHARACTERISTICS,0.0026691003164432472
API-MS-WIN-CORE-ERRORHANDLING-L1-1-1.DLL,0.002612909917333842
API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL,0.002601295025060629
API-MS-WIN-CORE-SYSINFO-L1-2-1.DLL,0.0026012950250606168
SHFOLDER.DLL,0.002575782039734785
RDATA_POINTERTORAWDATA,0.002539483651134377
MAJOROPERATINGSYSTEMVERSION,0.002535250903550202
OLEAUT32.DLL,0.0025054350762498197
BSS_CHARACTERISTICS,0.0025040562624592394
USER32.DLL,0.0024802802647101692
PDATA_CHARACTERISTICS,0.0024118833960755782
WS2_32.DLL,0.002407956770793119
API-MS-WIN-CORE-HANDLE-L1-1-0.DLL,0.002381615979693447
MAJORSUBSYSTEMVERSION,0.002378952362061825
WTSAPI32.DLL,0.002328302981221183
OLE32.DLL,0.0023281519256945185
USERENV.DLL,0.0023190524759287346
ADVAPI32.DLL,0.0023165026300498016
VERSION.DLL,0.0022785117483790493
NETAPI32.DLL,0.002256062423055981
API-MS-WIN-CORE-STRING-L1-1-0.DLL,0.0022144796594256045
SHLWAPI.DLL,0.0021871012550602155
COMDLG32.DLL,0.0021841918303117185
API-MS-WIN-CORE-HEAP-L2-1-0.DLL,0.00210217801765877
API-MS-WIN-CORE-CONSOLE-L1-1-0.DLL,0.002066953152324436
RDATA_VIRTUALADDRESS,0.0020662471497230536
IMAGEBASE,0.0020417219468034176
API-MS-WIN-CORE-FILE-L1-2-1.DLL,0.0020147478924036643
DATA_POINTERTORAWDATA,0.002010148388674149
SHELL32.DLL,0.0019866972365153407
API-MS-WIN-CORE-HEAP-L1-2-0.DLL,0.001965092996218818
UXTHEME.DLL,0.0019477127591204255
API-MS-WIN-CORE-PROCESSENVIRONMENT-L1-2-0.DLL,0.0019301935832891834
API-MS-WIN-CORE-REGISTRY-L1-1-0.DLL,0.0019299173448821298
API-MS-WIN-CORE-LOCALIZATION-L1-2-1.DLL,0.0019293422884082982
WINSCARD.DLL,0.0019201826368622354
IDATA_POINTERTORAWDATA,0.001894610272235989
SECUR32.DLL,0.00185046246236154
MSIMG32.DLL,0.001837927133394812
TLS_POINTERTORAWDATA,0.0018277802897934173
COMCTL32.DLL,0.001774808046860028
API-MS-WIN-CORE-RTLSUPPORT-L1-2-0.DLL,0.001746260920415049
BSS_VIRTUALADDRESS,0.00173404869548135
DATA_SIZEOFRAWDATA,0.0016903757864812803
API-MS-WIN-SECURITY-BASE-L1-2-0.DLL,0.0016352193784133957
RSRC_CHARACTERISTICS,0.001632072742036473
API-MS-WIN-CORE-WINRT-STRING-L1-1-0.DLL,0.001625080991478624
API-MS-WIN-CORE-WINRT-L1-1-0.DLL,0.0015765913664272178
IDATA_VIRTUALADDRESS,0.0015695633602388725
API-MS-WIN-CORE-DELAYLOAD-L1-1-1.DLL,0.00156266603878317
API-MS-WIN-CORE-COM-L1-1-1.DLL,0.0015538445809670856
IDATA_SIZEOFRAWDATA,0.0014991978844232248
LIBINTL-8.DLL,0.0014778538542736008
LIBGLIB-2.0-0.DLL,0.0014664127678410183
LIBGIMP-2.0-0.DLL,0.001456665874610369
LIBGIMPBASE-2.0-0.DLL,0.0014566599268827525
API-MS-WIN-CORE-UTIL-L1-1-0.DLL,0.001452120133404134
API-MS-WIN-CORE-INTERLOCKED-L1-1-0.DLL,0.0014511404998298076
API-MS-WIN-CORE-DEBUG-L1-1-0.DLL,0.0014511404998298076
API-MS-WIN-CORE-PROCESSTHREADS-L1-1-1.DLL,0.0014511404998298035
API-MS-WIN-CORE-PROCESSTHREADS-L1-1-0.DLL,0.0014189284817843427
API-MS-WIN-CORE-SYSINFO-L1-1-0.DLL,0.00141295949937689
API-MS-WIN-CORE-PROCESSENVIRONMENT-L1-1-0.DLL,0.0014125781083146177
API-MS-WIN-CORE-ERRORHANDLING-L1-1-0.DLL,0.0013990595795182938
API-MS-WIN-CORE-RTLSUPPORT-L1-1-0.DLL,0.0013910895131923147
API-MS-WIN-CORE-FILE-L1-1-0.DLL,0.0013910895131923147
API-MS-WIN-CORE-HEAP-L1-1-0.DLL,0.0013910895131923095
LIBGIMPUI-2.0-0.DLL,0.0013877473321627822
LIBGOBJECT-2.0-0.DLL,0.0013849038670693985
LIBGTK-WIN32-2.0-0.DLL,0.0013683543889585952
LIBGIMPWIDGETS-2.0-0.DLL,0.001359813340840204
TEXT_SIZEOFRAWDATA,0.0013489113646986692
LOADPERF.DLL,0.0013436876731977056
BSS_POINTERTORAWDATA,0.0013353319797117682
TEXT_MISC_VIRTUALSIZE,0.0013346998430106205
API-MS-WIN-CORE-LOCALIZATION-L1-2-0.DLL,0.001325860141391982
MINORSUBSYSTEMVERSION,0.0013217388018230438
API-MS-WIN-CORE-TIMEZONE-L1-1-0.DLL,0.0013110483742905343
API-MS-WIN-CORE-SYNCH-L1-1-0.DLL,0.0013062331870103284
SUBSYSTEM,0.0012644036871697025
IMAGEHLP.DLL,0.0012156673683779264
API-MS-WIN-CORE-LIBRARYLOADER-L1-2-1.DLL,0.001205876115062207
API-MS-WIN-CORE-APIQUERY-L1-1-0.DLL,0.00118894610453009
API-MS-WIN-CORE-DEBUG-L1-1-1.DLL,0.0011848459717193108
API-MS-WIN-EVENTING-PROVIDER-L1-1-0.DLL,0.0011772059053022474
GDIPLUS.DLL,0.001111471966235826
FILEALIGNMENT,0.0011035769676787574
MSWSOCK.DLL,0.0011005695705420399
RDATA_MISC_VIRTUALSIZE,0.0010963707633795353
RELOC_MISC_VIRTUALSIZE,0.0010802018110240166
RELOC_SIZEOFRAWDATA,0.001078148292811279
NETUTILS.DLL,0.0010727504131423575
RDATA_SIZEOFRAWDATA,0.0010685580872745188
MSVBVM60.DLL,0.0010520055227657894
API-MS-WIN-CORE-CONSOLE-L3-2-0.DLL,0.0010479315898463775
URLMON.DLL,0.0010200611862454865
WSOCK32.DLL,0.0010113723827581997
PSAPI.DLL,0.0009967293528546342
WINMM.DLL,0.0009923198820950044
TLS_VIRTUALADDRESS,0.000988398373716038
WININET.DLL,0.0009880773160817328
PDATA_VIRTUALADDRESS,0.0009806376746300403
API-MS-WIN-SECURITY-SDDL-L1-1-0.DLL,0.0009508945320720269
API-MS-WIN-CORE-THREADPOOL-L1-2-0.DLL,0.0009456931608215035
API-MS-WIN-CORE-MEMORY-L1-1-2.DLL,0.0009418870443946981
PDATA_POINTERTORAWDATA,0.0009257984152970006
API-MS-WIN-CORE-CONSOLE-L2-1-0.DLL,0.0009064185040709623
MSCMS.DLL,0.0009023388282693025
API-MS-WIN-CORE-KERNEL32-LEGACY-L1-1-1.DLL,0.0009007358985699541
API-MS-WIN-SERVICE-CORE-L1-1-1.DLL,0.000898257381154776
API-MS-WIN-CORE-REGISTRY-L2-2-0.DLL,0.0008965659401845302
RSRC_POINTERTORAWDATA,0.0008907040207846186
API-MS-WIN-CORE-DATETIME-L1-1-1.DLL,0.0008681421109196598
API-MS-WIN-CORE-STRING-L2-1-0.DLL,0.0008579252948267014
API-MS-WIN-CORE-VERSION-L1-1-0.DLL,0.0008523818576415202
API-MS-WIN-SERVICE-MANAGEMENT-L1-1-0.DLL,0.0008459378073059143
API-MS-WIN-CORE-STRING-OBSOLETE-L1-1-0.DLL,0.0008444484418913899
LIBGIMPCOLOR-2.0-0.DLL,0.0008423316205596348
API-MS-WIN-NTUSER-SYSPARAMS-L1-1-0.DLL,0.0008347921668653365
API-MS-WIN-SECURITY-PROVIDER-L1-1-0.DLL,0.0008306210621430643
API-MS-WIN-CORE-PSAPI-L1-1-0.DLL,0.000825111842651603
LOGONCLI.DLL,0.000823945277577604
API-MS-WIN-EVENTING-CLASSICPROVIDER-L1-1-0.DLL,0.0008230406113703208
WINSPOOL.DRV,0.0008104849429059049
ODBCBCP.DLL,0.0008079014650555926
MFC100U.DLL,0.0008079014650555925
API-MS-WIN-SERVICE-WINSVC-L1-2-0.DLL,0.0008073953702496714
SSPICLI.DLL,0.0007906617529894601
NORMALIZ.DLL,0.0007834369579904656
MSI.DLL,0.0007827479325583164
BROWCLI.DLL,0.0007675214487787386
API-MS-WIN-SERVICE-MANAGEMENT-L2-1-0.DLL,0.0007613305819109011
API-MS-WIN-SECURITY-LSALOOKUP-L2-1-1.DLL,0.0007466536451566728
SIZEOFSTACKRESERVE,0.0007364708885761183
API-MS-WIN-CORE-SHLWAPI-LEGACY-L1-1-0.DLL,0.000733305697088732
API-MS-WIN-CORE-DATETIME-L1-1-0.DLL,0.0007253348014200303
API-MS-WIN-CORE-WINRT-ERROR-L1-1-1.DLL,0.0006669508445436607
API-MS-WIN-CORE-SYNCH-L1-2-1.DLL,0.0006659130602857674
SIZEOFHEAPRESERVE,0.000658613851576462
SIZEOFCODE,0.000654626638898903
BCRYPT.DLL,0.0006487892410464284
RELOC_POINTERTORAWDATA,0.0006440085880081673
API-MS-WIN-CORE-IO-L1-1-1.DLL,0.0006434054599591654
API-MS-WIN-CORE-MEMORY-L1-1-3.DLL,0.0006251288703379962
SAMCLI.DLL,0.0006225857027999032
LIBGDK-WIN32-2.0-0.DLL,0.0006203474445586315
API-MS-WIN-CORE-MEMORY-L1-1-0.DLL,0.000620110901449045
KBDCAN.DLL,0.0006115041958697368
KBDHE.DLL,0.0006115041958697368
KBDYCL.DLL,0.0006115041958697368
MSISIP.DLL,0.0006115041958697367
API-MS-WIN-CORE-PATH-L1-1-0.DLL,0.0006097951602978018
API-MS-WIN-SHCORE-OBSOLETE-L1-1-0.DLL,0.0006032368131458401
MSVCR120.DLL,0.0006005706939792084
SRVCLI.DLL,0.0005926237409365664
MSVIDCTL.DLL,0.000590637040256424
API-MS-WIN-SECURITY-LSAPOLICY-L1-1-0.DLL,0.000584365420109484
PDATA_SIZEOFRAWDATA,0.0005838824545677588
API-MS-WIN-CORE-FILE-L2-1-2.DLL,0.0005835935829070424
MAPI32.DLL,0.0005807204434135425
API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL,0.000573616909310388
API-MS-WIN-CRT-MATH-L1-1-0.DLL,0.0005705213176349787
API-MS-WIN-CRT-HEAP-L1-1-0.DLL,0.0005532961289844403
API-MS-WIN-CRT-STDIO-L1-1-0.DLL,0.0005500956531284875
VCRUNTIME140.DLL,0.0005500956531284854
API-MS-WIN-CRT-LOCALE-L1-1-0.DLL,0.000550095653128485
IMM32.DLL,0.0005463862062324537
API-MS-WIN-CORE-WOW64-L1-1-0.DLL,0.0005396024692565268
OLEACC.DLL,0.0005337715506666003
LIBCAIRO-2.DLL,0.0005252866743105541
NSI.DLL,0.0005239858970188952
API-MS-WIN-CORE-FIBERS-L1-1-0.DLL,0.0005231335364220085
API-MS-WIN-CORE-SYSINFO-L1-2-0.DLL,0.0005231335364220074
API-MS-WIN-CORE-FILE-L2-1-0.DLL,0.0005231335364220042
API-MS-WIN-CORE-SIDEBYSIDE-L1-1-0.DLL,0.0005172282264354324
MSVCP140.DLL,0.0005061675978726908
MPRAPI.DLL,0.000501690868657925
API-MS-WIN-CORE-LOCALIZATION-OBSOLETE-L1-3-0.DLL,0.0004951920467777579
EDATA_POINTERTORAWDATA,0.0004887981601421736
DHCPCSVC.DLL,0.0004876167232913588
DHCPCSVC6.DLL,0.00048761672329135814
NUMBEROFRVAANDSIZES,0.0004831861125872295
WBEMCOMN.DLL,0.000482723584660321
API-MS-WIN-EVENTING-CONTROLLER-L1-1-0.DLL,0.00047069043008136924
VSPMSG.DLL,0.00046956645480419505
URL.DLL,0.0004684566537877283
API-MS-WIN-CORE-REGISTRY-L1-1-1.DLL,0.0004671131577257015
SAMLIB.DLL,0.00045541105127306123
EDATA_VIRTUALADDRESS,0.0004545744055445422
TEXT_CHARACTERISTICS,0.000454243438409044
API-MS-WIN-CORE-PSAPI-ANSI-L1-1-0.DLL,0.00045148152928435587
OLEDLG.DLL,0.00044741239364049667
WKSCLI.DLL,0.00044405408815871854
MSVCR100.DLL,0.0004422334693504425
API-MS-WIN-CORE-THREADPOOL-LEGACY-L1-1-0.DLL,0.0004339650690705912
DMCMNUTILS.DLL,0.000432961385452662
OMADMAPI.DLL,0.000432961385452662
DMPUSHPROXY.DLL,0.000432961385452662
API-MS-WIN-CORE-FILE-L2-1-1.DLL,0.0004313460189679563
API-MS-WIN-BASE-UTIL-L1-1-0.DLL,0.00042579043398822145
SQLDK.DLL,0.0004247230592883279
SQLTSES.DLL,0.0004247230592883275
SQLMIN.DLL,0.0004247230592883274
OPENDS60.DLL,0.0004247230592883274
SQLLANG.DLL,0.00042472305928832735
SQLOS.DLL,0.0004247230592883273
E_LFANEW,0.00041683927579029193
LIBGDK_PIXBUF-2.0-0.DLL,0.0004120420932223815
API-MS-WIN-CORE-CRT-L1-1-0.DLL,0.0003996276572904788
API-MS-WIN-CORE-CRT-L2-1-0.DLL,0.00039962765729047845
API-MS-WIN-CORE-HEAP-OBSOLETE-L1-1-0.DLL,0.000379444745929592
NINPUT.DLL,0.00037904689255229365
API-MS-WIN-SECURITY-AUDIT-L1-1-1.DLL,0.000370992441183078
API-MS-WIN-SECURITY-SDDLPARSECOND-L1-1-0.DLL,0.00037099244118307597
API-MS-WIN-CORE-KERNEL32-PRIVATE-L1-1-2.DLL,0.0003693804477907936
API-MS-WIN-DOWNLEVEL-SHLWAPI-L1-1-1.DLL,0.00036938044779079353
API-MS-WIN-DOWNLEVEL-SHLWAPI-L2-1-1.DLL,0.00036938044779079353
API-MS-WIN-CORE-SHLWAPI-OBSOLETE-L1-2-0.DLL,0.00036724293433942966
API-MS-WIN-EVENTING-LEGACY-L1-1-0.DLL,0.0003610138615840555
API-MS-WIN-CORE-PRIVATEPROFILE-L1-1-1.DLL,0.0003565338357280916
UNATTEND.DLL,0.0003565338357280915
ACTIONQUEUE.DLL,0.0003565338357280915
MSVCP110_WIN.DLL,0.00035490348976261897
XMLLITE.DLL,0.00035441833520120084
API-MS-WIN-CORE-LOCALIZATION-L1-2-2.DLL,0.00035230907030199836
API-MS-WIN-CORE-LOCALIZATION-PRIVATE-L1-1-0.DLL,0.0003523090703019983
DMXMLHELPUTILS.DLL,0.00033929736164548473
DSCLIENT.DLL,0.00033929736164548473
LIBGIO-2.0-0.DLL,0.0003340206210352056
CERTENROLL.DLL,0.0003330525020622858
CERTCA.DLL,0.0003330525020622848
API-MS-WIN-CRT-UTILITY-L1-1-0.DLL,0.00032902484739138034
ESSCLI.DLL,0.0003286173115278735
API-MS-WIN-POWER-SETTING-L1-1-0.DLL,0.00032541288278766813
RSRC_VIRTUALADDRESS,0.0003252660496821872
API-MS-WIN-CRT-FILESYSTEM-L1-1-0.DLL,0.0003246618258843351
MFC42.DLL,0.00032462277633974715
BSS_MISC_VIRTUALSIZE,0.0003167282316049753
IERTUTIL.DLL,0.0003166688204979075
API-MS-WIN-CORE-THREADPOOL-PRIVATE-L1-1-0.DLL,0.00031663879201453447
API-MS-WIN-CRT-TIME-L1-1-0.DLL,0.0003102956125318809
RELOC_CHARACTERISTICS,0.0003087964762130485
API-MS-WIN-DOWNLEVEL-KERNEL32-L2-1-0.DLL,0.0003064486445987029
